,floor,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,hasParkingSpace,IncludedInPrice,price_amount,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,district_Buenavista-Ería-Montecerrao,district_Carbayin-Lieres-Valdesoto,district_Celorio-Poó-Parres,district_Centro,district_Centro-Casco Histórico,district_Ciudad Naranco-Vallobín-La Florida,district_Corredoria-Huca-Teatinos,district_Cué-San Roque-Andrín,district_El Berrón-La Carrera,district_El Carbayedo - El Quirinal,district_El Llano,district_El Pozón - Villalegre - La Luz,district_Este,district_Figaredo - Turón,district_Fozaneldi-Tenderina-Ventanielles,district_Jardín de Cantos - El Nodo,district_La Felguera,district_La Fresneda,district_La Manjoya-Parroquias Sur,district_La Pola Siero,district_La Villa - Bazuelo,district_Llanes,district_Luanco - Aramar - Antromero,district_Lugones,district_Oeste,district_Parroquias Norte,district_Parroquias Norte-Naranco,district_Parroquias suroccidentales,district_Parroquias surorientales,district_Periurbano,district_Piedras Blancas,district_Pillarno,district_Posada-Barro,district_Pría-Nueva-Hontoria-Naves,district_Quintes - Arroes,district_Requejo - Rozaes - Oñón,district_San Claudio-Trubia-Las Caldas,district_San Lazaro-Otero-Villafría,district_San Pedro - Siana,district_Selorio - Tornón,district_Somió - Cabueñes,district_Sur,district_Tazones - Argüero,district_Vidiago-Pendueles-Tresgrandas,district_Viella-Granda-Meres
1428,-0.7749695516728732,-0.3785717765145245,1,-0.2445179713496239,-0.13339117697415515,-0.021145371379267357,2.5782337127582,1,1,1,250000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2994,-0.7749695516728732,0.9627257824208906,0,2.965901359084315,1.1299432504530296,0.4733014766608846,-0.04155380887952285,0,0,0,450000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3796,0.10523063709263637,-0.5226781258216352,1,-0.2445179713496239,-0.13339117697415515,1.1160746948808065,0.11895272041976222,1,0,0,240000.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,-0.7749695516728732,-0.3896568803073792,0,-0.2445179713496239,-0.7650583906877475,-0.8497410575428042,-1.9326239076564795,0,0,0,28000.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,-0.7749695516728732,-0.07927397410744842,0,0.29055191705603256,-0.13339117697415515,-0.679838742508001,-0.8424667624440147,0,1,1,85000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2988,-0.3348694572901184,-0.5670185409930539,1,-0.7795878597552803,-0.13339117697415515,-0.5921399793926801,-0.37774048869781146,1,0,0,170000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3209,0.5453307314753911,-0.583646196682336,1,-0.7795878597552803,-0.13339117697415515,0.9678320631290128,0.14165893544640545,1,1,0,289000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3946,-0.7749695516728732,0.5969173572566865,0,0.8256218054616891,0.4982760367394372,0.005060815967742782,2.3810847980614773,0,0,0,525000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4311,0.10523063709263637,-0.4561675030645072,1,-0.2445179713496239,-0.13339117697415515,-0.22712909732281608,-0.28607050033642917,1,0,0,152000.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2210,-0.7749695516728732,-0.3564015689288152,0,-0.7795878597552803,-0.13339117697415515,-1.2241966491385199,-0.32359043509194335,0,0,0,94800.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2909,-0.7749695516728732,-0.6612419232323186,0,-0.7795878597552803,-0.13339117697415515,-0.4522445911803102,-0.40743985396447696,0,0,0,240000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4117,0.9854308258581459,-0.5947313004751906,1,-0.2445179713496239,-0.7650583906877475,1.1008510486617054,0.10772439328706893,1,0,0,185000.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1255,-0.3348694572901184,-0.4395398473752252,1,0.29055191705603256,-0.13339117697415515,0.6279643829489099,-1.1119820316406512,1,1,1,90000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
