iter	RMSE
431	5585.228129
432	5564.658711
433	5538.907759
434	5514.287016
435	5509.15004
436	5487.188461
437	5470.884164
438	5466.184377
439	5460.041084
440	5444.805483
441	5430.158337
442	5421.13341
443	5407.677002
444	5386.922759
445	5369.391469
446	5348.617588
447	5327.164481
448	5312.604361
449	5293.198871
450	5280.216316
451	5262.215691
452	5253.345406
453	5243.041919
454	5226.602147
455	5211.338127
456	5194.925776
457	5179.583451
458	5172.048289
459	5163.079536
460	5148.104739
461	5135.908737
462	5124.566733
463	5105.813745
464	5091.329173
465	5071.633274
466	5060.578444
467	5049.949615
468	5045.870714
469	5038.394414
470	5028.725904
471	5024.461256
472	5020.400928
473	5010.73527
474	4997.628041
475	4979.987919
476	4964.911801
477	4948.539665
478	4939.352062
479	4924.905511
480	4906.822841
481	4895.392979
482	4879.662754
483	4861.502833
484	4850.94218
485	4834.740623
486	4820.651921
487	4816.712996
488	4800.39477
489	4790.227091
490	4781.420382
491	4766.204784
492	4758.057892
493	4744.807159
494	4735.582588
495	4726.998666
496	4710.905913
497	4702.511669
498	4691.098618
499	4679.840525
500	4675.112787
501	4667.976615
502	4654.819825
503	4639.602429
504	4630.774059
505	4616.572865
506	4608.663724
507	4596.39894
508	4586.590507
509	4582.351355
510	4568.804172
511	4563.98196
512	4559.832113
513	4545.829084
514	4540.864602
515	4528.836675
516	4520.197344
517	4514.304056
518	4503.788295
519	4492.919658
520	4486.5212
521	4481.369936
522	4470.231807
523	4458.403312
524	4444.207063
525	4429.360739
526	4416.390872
527	4406.895958
528	4394.503297
529	4379.000599
530	4375.410504
531	4359.642964
532	4346.08886
533	4332.261163
534	4319.737506
535	4307.355869
536	4298.50952
537	4290.284565
538	4282.552387
539	4274.212965
540	4266.853359
541	4254.04666
542	4244.461658
543	4230.489098
544	4224.528214
545	4212.741286
546	4208.053772
547	4203.217168
548	4196.223022
549	4189.261469
550	4178.36908
551	4168.936549
552	4159.787368
553	4148.712954
554	4139.148911
555	4127.354474
556	4118.306347
557	4105.871212
558	4101.61567
559	4087.998889
560	4078.709462
561	4070.075285
562	4062.67673
563	4054.199843
564	4047.81831
565	4036.649078
566	4029.718871
567	4022.375872
568	4015.138287
569	4007.386662
570	3998.482617
571	3989.794365
572	3985.538807
573	3976.354324
574	3967.402235
575	3961.952438
576	3954.812967
577	3947.670562
578	3943.444287
579	3938.151355
580	3929.815496
581	3921.927574
582	3912.458564
583	3908.500071
584	3900.878964
585	3893.84076
586	3889.516123
587	3885.083444
588	3872.904902
589	3868.281389
590	3856.465097
591	3849.823256
592	3835.756426
593	3826.424781
594	3818.16696
595	3808.144949
596	3803.01404
597	3793.824604
598	3789.274208
599	3776.586425
600	3770.068912
601	3763.036392
602	3758.298436
603	3751.185896
604	3747.507198
605	3740.565593
606	3735.082883
607	3726.66511
608	3716.951595
609	3713.20924
610	3703.907918
611	3695.468261
612	3688.187708
613	3682.019519
614	3675.837264
615	3665.23067
616	3655.154957
617	3645.93454
618	3637.242152
619	3629.03139
620	3622.319613
621	3616.572511
622	3611.52769
623	3597.883229
624	3593.250131
625	3588.55908
626	3578.556362
627	3573.036803
628	3565.025264
629	3555.901319
630	3547.550814
631	3540.959938
632	3531.894669
633	3523.396617
634	3519.034469
635	3513.186213
636	3506.895716
637	3500.593075
638	3493.878874
639	3485.28036
640	3479.853603
641	3474.484665
642	3470.205828
643	3465.302661
644	3460.725196
645	3452.519626
646	3445.797985
647	3435.983553
648	3429.724486
649	3420.180407
650	3415.11723
651	3410.815364
652	3404.526199
653	3395.331857
654	3388.604608
655	3380.725834
656	3376.1528
657	3368.467206
658	3365.396006
659	3359.889111
660	3356.456241
661	3352.365471
662	3344.947621
663	3340.358446
664	3332.572309
665	3325.88108
666	3321.285728
667	3315.48659
668	3306.373188
669	3300.776149
670	3296.917381
671	3291.780966
672	3282.695532
673	3275.586876
674	3271.232901
675	3264.55508
676	3257.757769
677	3254.697236
678	3248.669005
679	3242.717911
680	3238.528998
681	3230.682605
682	3227.276131
683	3222.083917
684	3217.812055
685	3214.672711
686	3209.264413
687	3204.283065
688	3198.027579
689	3191.846085
690	3187.432109
691	3178.869953
692	3174.442257
693	3168.731092
694	3163.236739
695	3158.718715
696	3152.37938
697	3146.4014
698	3143.347981
699	3139.655626
700	3134.029513
701	3129.039218
702	3126.450207
703	3122.986424
704	3116.949892
705	3111.761196
706	3107.88796
707	3102.966847
708	3098.996279
709	3092.11296
710	3085.831214
711	3082.437955
712	3077.276313
713	3072.63097
714	3069.109655
715	3062.892367
716	3058.649357
717	3051.994601
718	3045.914323
719	3042.842502
720	3038.671762
721	3029.597324
722	3025.029939
723	3019.901226
724	3014.453227
725	3011.518757
726	3007.091018
727	3003.664257
728	3000.124506
729	2993.858983
730	2990.142639
731	2983.829755
732	2980.696951
733	2976.242538
734	2972.317542
735	2969.322632
736	2964.110701
737	2957.515814
738	2955.55955
739	2950.778815
740	2946.656662
741	2941.274963
742	2935.261364
743	2932.418242
744	2927.792002
745	2924.991225
746	2920.740187
747	2916.59453
748	2914.038765
749	2911.554476
750	2905.229822
751	2900.555764
752	2894.773185
753	2891.682412
754	2887.756828
755	2882.402263
756	2879.214544
757	2876.00869
758	2873.442404
759	2871.347505
760	2867.709479
761	2862.879386
762	2858.262727
763	2855.204984
764	2851.974535
765	2848.248213
766	2842.308053
767	2838.508664
768	2833.852644
769	2829.996633
770	2827.036563
771	2824.794719
772	2819.234816
773	2813.898021
774	2809.77055
775	2807.523504
776	2803.564756
777	2801.628409
778	2796.224014
779	2789.740691
780	2785.92746
781	2781.134149
782	2777.123481
783	2773.136738
784	2771.12013
785	2765.929009
786	2761.702651
787	2759.226369
788	2755.872595
789	2752.118054
790	2747.075421
791	2742.025287
792	2737.030689
793	2735.262182
794	2732.077634
795	2729.31212
796	2724.014433
797	2720.120826
798	2715.781718
799	2712.883403
800	2706.916697
801	2705.697959
802	2701.485422
803	2698.634099
804	2694.954289
805	2690.515326
806	2688.386703
807	2682.895883
808	2677.402448
809	2672.124324
810	2666.674095
811	2663.593622
812	2660.650678
813	2656.615463
814	2653.007011
815	2649.933648
816	2645.695843
817	2644.255155
818	2640.481983
819	2637.204816
820	2632.206327
821	2630.61038
822	2628.59966
823	2624.286179
824	2621.882344
825	2618.202055
826	2615.699932
827	2612.684024
828	2608.073779
829	2604.643607
830	2601.623998
831	2599.054833
832	2595.735035
833	2593.814326
834	2588.980766
835	2582.677817
836	2578.48199
837	2577.330637
838	2576.245283
839	2573.54884
840	2570.951797
841	2568.738936
842	2565.461778
843	2563.169923
844	2558.091301
845	2551.870814
846	2547.523183
847	2545.560499
848	2542.033765
849	2537.606517
850	2535.720536
851	2531.859962
852	2527.231571
853	2521.689274
854	2519.229957
855	2517.253779
856	2512.960536
857	2508.075558
858	2505.744561
859	2501.580592
860	2498.490686
861	2494.777579
862	2492.27671
863	2491.305718
864	2488.327698
865	2485.152497
866	2482.326541
867	2477.909255
868	2474.638397
869	2472.427378
870	2469.260209
871	2463.434239
872	2460.450702
873	2457.915804
874	2452.708642
875	2448.72159
876	2446.214812
877	2443.396711
878	2442.825429
879	2438.842949
880	2435.604296
881	2432.689004
882	2430.56767
883	2429.81164
884	2426.630127
885	2423.608338
886	2419.623554
887	2417.532588
888	2416.353188
889	2414.11328
890	2410.70003
891	2408.024214
892	2404.594004
893	2399.164621
894	2397.011942
895	2396.610757
896	2395.397415
897	2389.819632
898	2384.454035
899	2380.982095
900	2377.967111
901	2374.95641
902	2371.663178
903	2369.673035
904	2364.798294
905	2361.286233
906	2358.45296
907	2358.059552
908	2354.460428
909	2353.975782
910	2350.468772
911	2346.699087
912	2343.420975
913	2339.276845
914	2337.625424
915	2335.8455
916	2333.895336
917	2330.96967
918	2327.95174
919	2327.589228
920	2323.632732
921	2321.571532
922	2319.64854
923	2319.310939
924	2317.706446
925	2313.356844
926	2310.698397
927	2308.536026
928	2305.249869
929	2301.6469
930	2299.808702
931	2297.626286
932	2297.362286
933	2294.240156
934	2291.872467
935	2286.732589
936	2282.815373
937	2280.996797
938	2278.728549
939	2276.179193
940	2273.914632
941	2271.456768
942	2267.419707
943	2265.404816
944	2263.933364
945	2261.185082
946	2257.517204
947	2253.898544
948	2253.04456
949	2252.695659
950	2248.69733
951	2246.294179
952	2245.595081
953	2242.311987
954	2239.923063
955	2237.836957
956	2235.590227
957	2233.770878
958	2232.705431
959	2229.372495
960	2226.908895
961	2223.937282
962	2221.763065
963	2220.00292
964	2217.81554
965	2215.395605
966	2213.723186
967	2210.803257
968	2208.246333
969	2205.792864
970	2201.95016
971	2200.1056
972	2195.904123
973	2192.635441
974	2189.365788
975	2187.026298
976	2186.092471
977	2183.582084
978	2180.255392
979	2178.906291
980	2176.764849
981	2175.776936
982	2173.620634
983	2171.824894
984	2170.927303
985	2168.668796
986	2165.538124
987	2162.137839
988	2160.511125
989	2157.231206
990	2155.929536
991	2152.83474
992	2151.281772
993	2148.827463
994	2147.386604
995	2145.013936
996	2142.086163
997	2139.271057
998	2138.933737
999	2138.157343
