iter	Passed	Remaining
467	724	823
468	725	821
469	726	819
470	727	817
471	728	815
472	729	813
473	731	811
474	732	809
475	733	807
476	735	805
477	736	803
478	737	801
479	738	800
480	739	798
481	740	796
482	741	794
483	742	792
484	744	790
485	745	788
486	746	786
487	747	784
488	748	782
489	749	780
490	751	778
491	752	776
492	753	774
493	754	773
494	755	771
495	757	769
496	758	767
497	759	765
498	760	763
499	761	761
500	763	760
501	764	758
502	765	756
503	766	754
504	768	752
505	769	750
506	770	749
507	771	747
508	772	745
509	774	743
510	775	742
511	776	740
512	778	738
513	779	737
514	780	735
515	782	733
516	783	731
517	784	730
518	785	728
519	786	726
520	787	724
521	789	722
522	790	720
523	791	719
524	792	717
525	794	715
526	795	713
527	796	712
528	798	710
529	799	708
530	800	707
531	801	705
532	803	703
533	804	701
534	805	700
535	806	698
536	808	696
537	809	695
538	810	693
539	811	691
540	813	689
541	814	687
542	815	686
543	816	684
544	817	682
545	818	680
546	819	678
547	820	677
548	822	675
549	823	673
550	824	671
551	825	670
552	827	668
553	828	667
554	829	665
555	830	663
556	831	661
557	833	659
558	834	658
559	835	656
560	836	654
561	837	652
562	839	651
563	840	649
564	841	647
565	842	646
566	844	644
567	845	643
568	846	641
569	848	639
570	849	638
571	850	636
572	851	634
573	853	633
574	854	631
575	855	629
576	856	628
577	858	626
578	859	624
579	860	623
580	861	621
581	862	619
582	863	617
583	865	616
584	866	614
585	867	612
586	868	610
587	869	609
588	870	607
589	871	605
590	873	604
591	875	603
592	876	601
593	877	600
594	878	598
595	879	596
596	881	594
597	881	592
598	882	591
599	884	589
600	885	587
601	886	586
602	887	584
603	889	582
604	890	581
605	891	579
606	892	578
607	894	576
608	895	574
609	896	572
610	897	571
611	898	569
612	899	567
613	900	566
614	901	564
615	902	562
616	904	561
617	905	559
618	906	557
619	907	556
620	908	554
621	909	552
622	910	551
623	912	549
624	913	547
625	914	546
626	915	544
627	916	543
628	918	541
629	919	540
630	920	538
631	921	536
632	922	535
633	924	533
634	925	531
635	926	530
636	927	528
637	928	526
638	929	525
639	930	523
640	931	521
641	932	520
642	934	518
643	935	517
644	936	515
645	937	513
646	938	512
647	940	510
648	941	508
649	942	507
650	943	505
651	944	503
652	945	502
653	946	500
654	947	499
655	948	497
656	950	496
657	951	494
658	952	492
659	953	491
660	954	489
661	955	487
662	956	486
663	957	484
664	958	482
665	959	481
666	960	479
667	962	478
668	963	476
669	964	475
670	966	473
671	967	472
672	968	470
673	969	468
674	970	467
675	971	465
676	972	464
677	973	462
678	974	460
679	975	459
680	977	457
681	978	456
682	979	454
683	981	453
684	982	451
685	983	450
686	984	448
687	986	447
688	987	445
689	988	444
690	990	442
691	991	441
692	992	439
693	993	437
694	994	436
695	995	434
696	996	433
697	998	431
698	999	430
699	1000	428
700	1001	427
701	1002	425
702	1004	424
703	1005	422
704	1006	421
705	1007	419
706	1008	417
707	1009	416
708	1010	414
709	1012	413
710	1013	411
711	1014	410
712	1015	408
713	1016	406
714	1017	405
715	1018	403
716	1019	402
717	1020	400
718	1021	399
719	1022	397
720	1023	396
721	1024	394
722	1026	393
723	1027	391
724	1028	390
725	1029	388
726	1030	386
727	1031	385
728	1032	383
729	1033	382
730	1034	380
731	1035	379
732	1036	377
733	1037	375
734	1038	374
735	1039	372
736	1040	371
737	1041	369
738	1042	368
739	1043	366
740	1045	365
741	1046	363
742	1047	362
743	1048	360
744	1049	359
745	1050	357
746	1051	356
747	1052	354
748	1053	353
749	1054	351
750	1055	350
751	1056	348
752	1058	347
753	1059	345
754	1060	344
755	1061	342
756	1062	341
757	1063	339
758	1064	338
759	1065	336
760	1066	334
761	1067	333
762	1068	331
763	1069	330
764	1070	328
765	1071	327
766	1072	325
767	1073	324
768	1074	322
769	1075	321
770	1076	319
771	1078	318
772	1079	316
773	1080	315
774	1081	313
775	1082	312
776	1083	310
777	1084	309
778	1085	308
779	1086	306
780	1087	305
781	1089	303
782	1090	302
783	1091	300
784	1092	299
785	1093	297
786	1094	296
787	1095	294
788	1096	293
789	1097	291
790	1098	290
791	1099	288
792	1100	287
793	1101	285
794	1103	284
795	1104	282
796	1105	281
797	1106	280
798	1107	278
799	1109	277
800	1110	275
801	1111	274
802	1112	272
803	1113	271
804	1114	270
805	1115	268
806	1116	267
807	1117	265
808	1119	264
809	1120	262
810	1121	261
811	1122	259
812	1123	258
813	1125	257
814	1126	255
815	1127	254
816	1129	252
817	1130	251
818	1131	250
819	1133	248
820	1134	247
821	1136	246
822	1137	244
823	1138	243
824	1140	241
825	1141	240
826	1142	239
827	1143	237
828	1144	236
829	1146	234
830	1147	233
831	1148	231
832	1150	230
833	1151	229
834	1152	227
835	1154	226
836	1155	225
837	1157	223
838	1158	222
839	1159	220
840	1160	219
841	1161	217
842	1162	216
843	1163	215
844	1164	213
845	1166	212
846	1167	210
847	1168	209
848	1170	208
849	1171	206
850	1172	205
851	1173	203
852	1174	202
853	1175	201
854	1177	199
855	1178	198
856	1179	196
857	1180	195
858	1181	193
859	1182	192
860	1183	191
861	1184	189
862	1185	188
863	1186	186
864	1187	185
865	1189	183
866	1190	182
867	1191	181
868	1192	179
869	1193	178
870	1194	176
871	1195	175
872	1196	174
873	1197	172
874	1198	171
875	1200	169
876	1201	168
877	1202	167
878	1203	165
879	1204	164
880	1205	162
881	1206	161
882	1207	160
883	1208	158
884	1209	157
885	1210	155
886	1212	154
887	1213	153
888	1214	151
889	1215	150
890	1216	148
891	1217	147
892	1218	146
893	1220	144
894	1221	143
895	1222	141
896	1223	140
897	1224	139
898	1225	137
899	1227	136
900	1228	134
901	1229	133
902	1230	132
903	1232	130
904	1233	129
905	1234	128
906	1235	126
907	1236	125
908	1238	123
909	1238	122
910	1239	121
911	1241	119
912	1242	118
913	1243	117
914	1244	115
915	1245	114
916	1247	112
917	1248	111
918	1249	110
919	1250	108
920	1251	107
921	1252	105
922	1253	104
923	1254	103
924	1255	101
925	1256	100
926	1258	99
927	1259	97
928	1260	96
929	1261	94
930	1262	93
931	1263	92
932	1264	90
933	1265	89
934	1266	88
935	1267	86
936	1268	85
937	1269	83
938	1270	82
939	1271	81
940	1273	79
941	1274	78
942	1275	77
943	1276	75
944	1277	74
945	1278	73
946	1280	71
947	1281	70
948	1282	68
949	1283	67
950	1284	66
951	1285	64
952	1286	63
953	1287	62
954	1288	60
955	1289	59
956	1290	58
957	1292	56
958	1293	55
959	1294	53
960	1295	52
961	1296	51
962	1298	49
963	1299	48
964	1300	47
965	1301	45
966	1303	44
967	1304	43
968	1306	41
969	1307	40
970	1308	39
971	1309	37
972	1310	36
973	1311	35
974	1312	33
975	1313	32
976	1314	30
977	1315	29
978	1317	28
979	1318	26
980	1319	25
981	1320	24
982	1321	22
983	1322	21
984	1323	20
985	1324	18
986	1325	17
987	1326	16
988	1327	14
989	1329	13
990	1330	12
991	1331	10
992	1332	9
993	1333	8
994	1334	6
995	1335	5
996	1336	4
997	1337	2
998	1339	1
999	1340	0
